,collocate,raw_frequency,MI
0,,1,8.3477400590893
1,LOVE,1,3.82053141457092
2,PRETTY,1,4.946542677427145
3,INTENDED,1,6.642991966850874
4,ONLY,1,3.722767245805029
5,COMMON,1,6.045154966095254
6,ENTRAPPED,1,9.040887239649244
7,SON,1,5.149066941538618
8,MOTHER,1,4.2872970485428805
9,BOY,1,3.804445276819296
10,ENGLAND,1,5.279687123955682
11,FINE,1,5.485539178159831
12,HANDSOME,1,5.279687123955682
13,ROSY,1,6.738302146655199
14,BOYS,1,6.268298517409463
15,WERE,1,2.7437779197153094
16,STRICTLY,1,8.3477400590893
17,CARE,1,5.089643521067818
18,BEAUTIFUL,1,4.278713304851489
19,WHOSE,1,4.963349795743525
20,NAME,1,4.697081817795561
21,LADY,1,5.0519031930849705
22,GWYNETH,1,9.040887239649244
23,NEVER,1,3.5437190143560433
24,KNEW,1,4.278713304851489
25,ANY,1,3.6843009649772327
26,BUT,1,2.3003678800430216
27,ALWAYS,1,3.9471370388424827
28,LOOK,1,3.991031232399708
29,USED,1,4.963349795743525
30,SINCE,1,5.21224584316015
31,MOLYNEUX,1,7.4314493272151445
32,BONNETS,1,8.3477400590893
33,SHAWLS,1,7.942274950981135
34,THEIR,1,3.5074977509217247
35,SWEETHEARTS,1,9.040887239649244
36,TAKES,1,6.843662662313026
37,GRANTED,1,7.24912777042119
38,WOULD,1,2.9162038487550404
39,SEE,1,3.391913001488039
40,THERE,1,2.812376236058062
41,GOOD,1,3.670249211521582
42,OPENED,1,5.303217621365877
43,TRUNK,1,8.3477400590893
44,US,1,3.870403244611093
45,GRACEFUL,1,5.996364801925822
46,FORMS,1,6.555980589861245
47,LIGHT,1,4.135612461210815
48,SAW,1,4.01044931825681
49,SMALL,1,4.425766722807985
50,SLENDER,1,6.642991966850874
51,WHITE,1,4.980444229102826
52,MASS,1,7.942274950981135
53,VALLEY,1,7.094977090593932
54,FASTENED,1,8.3477400590893
55,ON,1,2.314653837290498
56,SHOULDER,1,5.8628334093013
57,FALLING,1,6.642991966850874
58,BEAMING,1,8.3477400590893
59,ENGLISH,1,5.782790701627763
60,SOME,1,3.3404436662585586
61,SEVENTEEN,1,8.3477400590893
62,SUMMERS,1,9.040887239649244
63,CATCHING,1,7.942274950981135
64,UP,1,3.20607650258664
65,ARMS,1,5.5145267150330834
66,MADE,1,3.804445276819296
67,DID,1,3.4499002591383885
68,CALL,1,5.149066941538618
69,SMILED,1,4.792391997599886
70,APOLOGETICALLY,1,9.040887239649244
71,RESPECTABLE,1,6.843662662313026
72,ONE,1,2.6160182157438574
73,EVENING,1,5.190739637939187
74,NEARER,1,6.738302146655199
75,SUZANNE,1,6.738302146655199
76,IS,1,1.8988506649424421
77,BRAVE,1,6.096448260482805
78,MADEMOISELLE,1,4.563550425171038
79,KISSED,1,5.575151336849518
80,DEAR,1,5.234224749878925
81,HATE,1,6.475937882187709
82,FRESH,1,6.045154966095254
83,AS,1,1.819051414360796
