,collocate,raw_frequency,MI
0,CALLING,1,5.6432048000945345
1,RUN,1,5.083589012159111
2,STAIRS,1,5.6432048000945345
3,FUTURE,1,4.256910438974644
4,DEATH,1,3.23400997204223
5,COOK,1,6.33635198065448
6,NURSE,1,6.62403405310626
7,COUPE,1,6.113208429340269
8,STANDING,1,4.321448960112215
9,CHEAP,1,6.113208429340269
10,INSIGNIFICANT,1,7.029499161214424
11,SORT,1,3.4885398371771106
12,VICTOR,1,7.72264634177437
13,SAME,1,3.432186900625979
14,THOUGHT,1,2.4293415170498776
15,LIPS,1,3.894004945285275
16,LIKED,1,4.355350511787896
17,DIDN,1,4.50377051690617
18,REAL,1,4.464549803752888
19,PARTING,1,4.889432997718154
20,PUT,1,3.23400997204223
21,HIMSELF,1,2.4808993267147277
22,DARKNESS,1,4.321448960112215
23,THINGS,1,2.6537421395541387
24,PRETTY,1,3.6283017795522694
25,ISN,1,4.631603888416054
26,GLAD,1,3.8308260436637434
27,HERE,1,2.8398444191879992
28,COMPARED,1,5.930886872546315
29,FUR,1,5.23773969198637
30,HEARTH,1,5.420061248780324
31,RUG,1,5.1576969843128335
32,KAPER,1,7.72264634177437
33,MA,1,5.1576969843128335
34,OBLIGED,1,4.58715212584522
35,ACCEPT,1,4.5445925114264245
36,THANK,1,4.426809475770041
37,RAN,1,4.464549803752888
38,STOOD,1,3.20085776472533
39,CAME,1,2.795392656617165
40,TURNING,1,4.5445925114264245
41,APPLYING,1,7.72264634177437
42,ABUSIVE,1,7.72264634177437
43,BRIDGET,1,4.50377051690617
44,OUR,1,2.718700035828911
45,CRY,1,5.083589012159111
46,EVENING,1,3.8724987400643114
47,MR,1,1.8849158946084301
48,BEAUTIFUL,1,2.960472406976614
49,ANYTHING,1,3.2918295429310565
50,ABOUT,1,2.073672103613164
51,WISTFULLY,1,5.525421764438151
52,BIG,1,3.611772477601059
53,PEOPLE,1,2.7668192841731094
54,AWAY,1,2.862833937412698
55,BOY,1,2.486204378944421
56,INSTEAD,1,4.631603888416054
57,ASLEEP,1,6.33635198065448
58,BEDROOM,1,6.33635198065448
59,ER,1,7.72264634177437
60,LORD,1,2.486204378944421
61,SMILE,1,3.328197187101931
62,M,1,3.365937515084778
63,DONE,1,3.6451088978686506
64,EXCHANGED,1,7.029499161214424
65,GLANCES,1,6.62403405310626
66,PART,1,3.548259071878733
67,ENGLAND,1,3.961446226080808
68,MANY,1,2.7053665049594455
69,V,1,6.33635198065448
70,SHORTS,1,7.72264634177437
71,UPPER,1,7.029499161214424
72,FRIENDLY,1,4.196285817158209
73,COTTAGES,1,5.525421764438151
74,BAD,1,4.13912740331826
75,BEHAVIOR,1,7.72264634177437
76,BUTLER,1,7.029499161214424
77,FOOTMEN,1,6.62403405310626
78,TH,1,7.72264634177437
79,WALK,1,4.3904418315991665
80,PAST,1,4.58715212584522
81,LEANED,1,4.950057619534589
82,AIN,1,7.029499161214424
83,TREES,1,4.3904418315991665
84,WIDE,1,4.58715212584522
85,OPEN,1,3.7523544282222483
86,COURT,1,4.426809475770041
87,SORROW,1,4.7782073626079296
88,POVERTY,1,6.33635198065448
89,BROUGHAM,1,6.113208429340269
90,OFTEN,1,3.6622033312279507
91,ST,1,5.930886872546315
92,SEW,1,7.72264634177437
93,THOSE,1,2.7390397200660335
94,THINKING,1,4.13912740331826
95,HOW,1,2.1971934026425863
96,END,1,3.715313156541899
97,VILLAGE,1,5.1576969843128335
98,TOGETHER,1,3.365937515084778
99,DILAPIDATED,1,7.72264634177437
100,MISERABLE,1,5.01459614067216
101,CARELESS,1,6.113208429340269
102,PULLED,1,5.23773969198637
103,NEW,1,3.2918295429310565
104,BUILT,1,5.930886872546315
105,LORDS,1,5.420061248780324
106,MOMENT,1,3.5031386365982633
107,LODGING,1,7.72264634177437
108,LONDON,1,4.5445925114264245
109,EARL,1,1.8421133553736697
110,UNTIL,1,4.50377051690617
111,LIVED,1,3.894004945285275
112,MARRIED,1,5.083589012159111
113,SET,1,3.984976723491002
114,ROOMS,1,4.631603888416054
115,N,1,4.678123904050947
116,WOMAN,1,3.059207247662303
117,O,1,4.111728429130146
118,TOLD,1,3.0405151146501503
119,ME,1,0.6054408386100257
120,MINNA,1,6.33635198065448
121,D,1,3.5329915997479446
122,STOPPED,1,4.631603888416054
123,OPPOSITE,1,5.23773969198637
124,STARING,1,5.525421764438151
125,LET,1,3.0879173535447344
126,INTO,1,2.2011854239121234
127,SAYS,1,3.8724987400643114
128,GOES,1,5.776736192719056
129,CARRIAGE,1,3.6451088978686506
130,ROOM,1,2.647472526540543
131,DO,1,1.7590669981559237
132,DEMANDED,1,5.324751068975999
133,FLOWER,1,4.950057619534589
134,GARDENS,1,6.62403405310626
135,TERRACES,1,7.029499161214424
136,PROPRIETRESS,1,7.029499161214424
137,STOUT,1,5.525421764438151
138,GOOD,1,2.3520083136467074
139,NATURED,1,6.33635198065448
140,FROWNING,1,7.029499161214424
141,SKY,1,5.6432048000945345
142,BETOOK,1,7.72264634177437
143,BUILDS,1,7.72264634177437
144,BRICK,1,7.029499161214424
145,HAVE,1,1.0932830883369213
146,EQUAL,1,6.33635198065448
147,FIRST,1,2.8551118913187876
148,VISIT,1,4.50377051690617
149,SALUTED,1,6.33635198065448
150,US,1,2.5521623467362184
151,BOTH,1,3.5329915997479446
152,THEREFORE,1,3.5955119567292786
153,STAYING,1,6.113208429340269
154,CHAPERONAGE,1,7.029499161214424
155,MAN,1,2.4651509697465883
156,PROMISED,1,5.324751068975999
157,TEMPORARY,1,6.33635198065448
158,RESIDENT,1,7.72264634177437
159,EMPLOYED,1,5.930886872546315
160,DR,1,4.7782073626079296
161,CASIMIR,1,3.6451088978686506
162,NERVES,1,5.930886872546315
163,STRANGE,1,3.328197187101931
164,LAUGHED,1,4.009074275070062
165,STORY,1,4.111728429130146
166,ARRANGEMENT,1,5.776736192719056
167,ESSENTIALLY,1,7.72264634177437
168,LED,1,4.50377051690617
169,MODEL,1,5.324751068975999
170,PERFECT,1,3.961446226080808
171,PEACE,1,5.525421764438151
172,HARMONY,1,6.113208429340269
173,GOT,1,4.2886591372892235
174,PICTURE,1,3.810623336346224
175,WAGNER,1,5.776736192719056
176,PAINTED,1,5.1576969843128335
177,SENATE,1,7.72264634177437
178,POOR,1,3.517953722383404
179,PERISHABLE,1,5.930886872546315
180,LUMP,1,6.33635198065448
181,EIGHT,1,5.083589012159111
182,BEGINNING,1,4.631603888416054
183,SOB,1,7.029499161214424
184,BANSHEE,1,7.72264634177437
185,HARK,1,7.72264634177437
186,FREE,1,4.58715212584522
187,ANYWHERE,1,5.930886872546315
188,AVOIDING,1,7.72264634177437
189,STUDIO,1,4.0590846956447235
190,HOSPITALITY,1,6.62403405310626
191,PRETEND,1,6.33635198065448
192,FRIENDSHIP,1,5.23773969198637
193,INTENSE,1,4.889432997718154
194,MORNING,1,3.391913001488039
195,DELIGHTS,1,7.029499161214424
196,ORDER,1,4.464549803752888
197,RESUME,1,5.776736192719056
198,UNLOCKING,1,7.72264634177437
199,STORE,1,4.50377051690617
200,MUSIC,1,3.365937515084778
201,FREEDOM,1,7.029499161214424
202,TEST,1,7.72264634177437
203,ACROSS,1,4.321448960112215
204,Y,1,7.72264634177437
205,WIND,1,4.678123904050947
206,FILLED,1,4.22613878030789
207,SITTING,1,4.464549803752888
208,CRAZILY,1,7.72264634177437
209,CARDS,1,7.72264634177437
210,HUGE,1,5.01459614067216
211,CENTRAL,1,4.58715212584522
212,YOURSELF,1,3.67959507393982
213,PARTICULAR,1,4.631603888416054
214,PAINT,1,5.525421764438151
215,LIGHT,1,2.8173715633359406
216,PEACHES,1,6.62403405310626
217,PLANTAINS,1,7.029499161214424
218,GRAPES,1,6.62403405310626
219,EVEN,1,2.773886451396202
220,ECHOED,1,7.72264634177437
221,THROUGHOUT,1,6.113208429340269
222,SHUDDERED,1,6.33635198065448
223,SHORT,1,4.58715212584522
224,PRAYING,1,7.029499161214424
225,UNCHANGED,1,7.029499161214424
226,SISTER,1,4.22613878030789
227,FIGHT,1,6.113208429340269
228,TOO,1,2.635050006541986
229,RESIDENCE,1,6.62403405310626
